global unique identifier	last edited date	taxonomic order	category	taxon concept id	common name	scientific name	subspecies common name	subspecies scientific name	exotic code	observation count	breeding code	breeding category	behavior code	age/sex	country	country code	state	state code	county	county code	iba code	bcr code	usfws code	atlas block	locality	locality id	locality type	latitude	longitude	observation date	time observations started	observer id	sampling event identifier	protocol type	protocol code	project code	duration minutes	effort distance km	effort area ha	number observers	all species reported	group identifier	has media	approved	reviewed	reason	trip comments	species comments	
URN:CornellLabOfOrnithology:EBIRD:OBS1272186452	2021-11-06 16:52:22.550693	33402	species	avibase-4168AF09	Blackburnian Warbler	Setophaga fusca				2					Colombia	CO	Caldas	CO-CAL	NA		NA	NA	NA	NA	Casa Julián Arbeláez	L16830275	P	5.061504	-75.474274	2021-11-06	06:30:00	obsr1289697	S97211711	Stationary	P21	EBIRD	90	NA	NA	3	1	G7391118	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1278811081	2022-12-12 12:40:26.363272	33402	species	avibase-4168AF09	Blackburnian Warbler	Setophaga fusca				2					Colombia	CO	Caldas	CO-CAL	NA		NA	NA	NA	NA	Vda El Palmar, Caldas, CO (5.051, -75.909)	L16910830	P	5.0514549	-75.909074	2021-11-17	06:36:00	obsr884204	S97693586	Stationary	P21	EBIRD_COL	53	NA	NA	2	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1274706484	2021-11-10 15:18:54.098487	33402	species	avibase-4168AF09	Blackburnian Warbler	Setophaga fusca				3					Colombia	CO	Caldas	CO-CAL	NA		NA	NA	NA	NA	Escuela Valles	L12445416	P	4.9389206	-75.5069053	2021-11-09	09:05:00	obsr1919766	S97403920	Traveling	P22	EBIRD	60	0.79	NA	20	1	G7406280	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1560200222	2022-11-12 11:11:08.499203	33402	species	avibase-4168AF09	Blackburnian Warbler	Setophaga fusca				1					Colombia	CO	Caldas	CO-CAL	NA		NA	NA	NA	NA	Café Tío Conejo	L7925994	H	5.1351518	-75.4920473	2021-11-14	06:20:00	obsr906898	S122289181	Traveling	P22	EBIRD	240	0.6	NA	12	1	G7439074	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1287393892	2021-12-01 17:06:45.649428	33402	species	avibase-4168AF09	Blackburnian Warbler	Setophaga fusca				2					Colombia	CO	Caldas	CO-CAL	NA		NA	NA	NA	NA	Zona rural Chinchiná	L16979451	P	4.9544722	-75.6155278	2021-11-18	06:00:00	obsr816303	S98113070	Stationary	P21	EBIRD	180	NA	NA	4	1	G7482176	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1296082266	2021-12-15 11:47:52.479886	33402	species	avibase-4168AF09	Blackburnian Warbler	Setophaga fusca				2					Colombia	CO	Caldas	CO-CAL	NA		NA	NA	NA	NA	Predio La Soledad, Rioclaro, Villamaría, Caldas, CO (4.996, -75.555)	L17021938	P	4.9964368	-75.5546717	2021-11-25	07:31:00	obsr734056	S98918313	Traveling	P22	EBIRD	151	1.42	NA	2	1	G7531478	0	1	0			1M-1M inmaduro	
URN:CornellLabOfOrnithology:EBIRD:OBS1277877867	2021-12-16 13:32:51.729962	33402	species	avibase-4168AF09	Blackburnian Warbler	Setophaga fusca				6					Colombia	CO	Caldas	CO-CAL	NA		NA	NA	NA	NA	Lodge Paraíso Verde - Manizales	L10079498	P	5.0890114	-75.5333151	2021-11-15	07:19:00	obsr1208420	S97631552	Traveling	P22	EBIRD	302	1.86	NA	13	1	G7426466	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1281690770	2021-11-21 21:49:44.224129	33402	species	avibase-4168AF09	Blackburnian Warbler	Setophaga fusca				4					Colombia	CO	Caldas	CO-CAL	NA		NA	NA	NA	NA	Alto El Abejorro	L15375331	P	5.4200217	-75.004675	2021-11-18	08:22:00	obsr1208420	S97906994	Traveling	P22	EBIRD	172	3.03	NA	3	1	G7448488	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1284180629	2021-12-14 18:30:15.453972	33402	species	avibase-4168AF09	Blackburnian Warbler	Setophaga fusca				1					Colombia	CO	Caldas	CO-CAL	NA		NA	NA	NA	NA	Jardín Botánico de La Universidad de Caldas	L4462411	H	5.0564338	-75.4943454	2021-11-10	15:56:00	obsr623245	S98090591	Traveling	P22	EBIRD	170	0.88	NA	2	1		1	1	0		Final de tarde com as novas amigas, a chilena Carolina Yañez Rismondo e a argentina Alejandra Boloqui		
URN:CornellLabOfOrnithology:EBIRD:OBS1284236857	2021-11-26 14:15:32.869128	33402	species	avibase-4168AF09	Blackburnian Warbler	Setophaga fusca				2					Colombia	CO	Caldas	CO-CAL	NA		NA	NA	NA	NA	176001, Villamaría CO-Caldas 5.03489, -75.48650	L16795208	P	5.034889	-75.486502	2021-11-26	12:39:00	obsr2824334	S98096696	Traveling	P22	EBIRD_COL	95	0.667	NA	1	0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1287415855	2021-12-01 17:06:45.649428	33402	species	avibase-4168AF09	Blackburnian Warbler	Setophaga fusca				2					Colombia	CO	Caldas	CO-CAL	NA		NA	NA	NA	NA	Zona rural Chinchiná	L16979451	P	4.9544722	-75.6155278	2021-11-18	06:00:00	obsr921191	S98333682	Stationary	P21	EBIRD	180	NA	NA	4	1	G7482176	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1280570621	2021-11-20 10:32:38.918061	33402	species	avibase-4168AF09	Blackburnian Warbler	Setophaga fusca				1					Colombia	CO	Caldas	CO-CAL	NA		NA	NA	NA	NA	Hotel Paraíso Verde Manizales	L7350447	H	5.0898541	-75.5333555	2021-11-13	10:20:00	obsr623034	S97818039	Traveling	P22	EBIRD	90	0.3	NA	1	1	G7426394	0	1	0				
