"site"	"y.1"	"y.2"	"y.3"	"y.4"	"y.5"	"n_observations"	"latitude"	"longitude"	"altitud"	"huella"	"time_observations_started.1"	"time_observations_started.2"	"time_observations_started.3"	"time_observations_started.4"	"time_observations_started.5"	"duration_minutes.1"	"duration_minutes.2"	"duration_minutes.3"	"duration_minutes.4"	"duration_minutes.5"	"effort_distance_km.1"	"effort_distance_km.2"	"effort_distance_km.3"	"effort_distance_km.4"	"effort_distance_km.5"	"number_observers.1"	"number_observers.2"	"number_observers.3"	"number_observers.4"	"number_observers.5"	"protocol_type.1"	"protocol_type.2"	"protocol_type.3"	"protocol_type.4"	"protocol_type.5"
"34"	"L11389420_obs1589994_2021"	1	0	NA	NA	NA	2	5.4121197	-74.9894258	1377	94	17.7	15.2333333333333	NA	NA	NA	14	58	NA	NA	NA	0	0.25	NA	NA	NA	1	1	NA	NA	NA	"Stationary"	"Traveling"	NA	NA	NA
"35"	"L11394107_obs1477340_2021"	1	0	1	1	1	5	5.3861337	-75.1619607	1982	77	12.1666666666667	9.41666666666667	10.9	15.5166666666667	17.7166666666667	30	61	6	24	15	0	0	0	0.6	0	1	1	1	1	1	"Stationary"	"Stationary"	"Stationary"	"Traveling"	"Stationary"
"36"	"L11409136_obs1289697_2021"	0	0	NA	NA	NA	2	5.0613438	-75.4741968	2155	94	11.5	9	NA	NA	NA	30	60	NA	NA	NA	0	0	NA	NA	NA	1	1	NA	NA	NA	"Stationary"	"Stationary"	NA	NA	NA
"37"	"L11421147_obs1285604,obs948584_2021"	0	0	NA	NA	NA	2	5.2256227	-75.1676913	2077	60	12.9833333333333	19	NA	NA	NA	215	10	NA	NA	NA	5.78	0	NA	NA	NA	2	2	NA	NA	NA	"Traveling"	"Stationary"	NA	NA	NA
"38"	"L11429027_obs773487_2021"	0	0	0	1	0	5	5.083742	-75.5249739	2016	94	10.25	10.6	9.55	3.78333333333333	18.2333333333333	15	9	5	30	5	0	0	0	0	0.01	1	1	1	1	1	"Stationary"	"Stationary"	"Stationary"	"Stationary"	"Traveling"
"39"	"L11431321_obs693372_2021"	0	0	0	0	0	5	5.053722	-75.4907932	2135	91	17.5	16.9666666666667	12.6333333333333	15.5333333333333	17.8	39	9	12	8	7	0.77	0	0	0	0	1	1	1	1	1	"Traveling"	"Stationary"	"Stationary"	"Stationary"	"Stationary"
"40"	"L11433899_obs820658_2021"	1	1	1	NA	NA	3	5.0634747	-75.4879445	2105	94	7.31666666666667	12.3166666666667	12.2666666666667	NA	NA	2	7	6	NA	NA	0.24	0.65	0.63	NA	NA	1	1	1	NA	NA	"Traveling"	"Traveling"	"Traveling"	NA	NA
"41"	"L11441868_obs1352185_2021"	1	1	NA	NA	NA	2	5.2969868	-75.0551111	1470	62	6.65	5.95	NA	NA	NA	136	130	NA	NA	NA	1.786	1.674	NA	NA	NA	3	2	NA	NA	NA	"Traveling"	"Traveling"	NA	NA	NA
"42"	"L11441868_obs1439256_2021"	0	0	0	1	1	5	5.2969868	-75.0551111	1470	62	6.56666666666667	11.35	12.4666666666667	5.5	6.5	32	15	15	50	40	1.1	0	0	2	3	3	2	2	2	1	"Traveling"	"Stationary"	"Stationary"	"Traveling"	"Traveling"
"43"	"L11441868_obs1439256,obs1603937_2021"	1	1	0	0	NA	4	5.2969868	-75.0551111	1470	62	6.15	6.4	7.85	8.03333333333333	NA	45	28	20	31	NA	0.83	0.53	0.5	1	NA	2	2	2	2	NA	"Traveling"	"Traveling"	"Traveling"	"Traveling"	NA
"44"	"L11441868_obs1439256,obs1603937,obs1439834_2021"	1	1	NA	NA	NA	2	5.2969868	-75.0551111	1470	62	6.31666666666667	7.38333333333333	NA	NA	NA	17	29	NA	NA	NA	0.36	0.83	NA	NA	NA	3	3	NA	NA	NA	"Traveling"	"Traveling"	NA	NA	NA
"45"	"L11441868_obs1439834_2021"	1	0	NA	NA	NA	2	5.2969868	-75.0551111	1470	62	6.76666666666667	6.05	NA	NA	NA	16	115	NA	NA	NA	1	1.87	NA	NA	NA	3	1	NA	NA	NA	"Traveling"	"Traveling"	NA	NA	NA
"46"	"L11441868_obs1439834,obs1603937,obs1605604_2021"	0	1	NA	NA	NA	2	5.2969868	-75.0551111	1470	62	8.08333333333333	6.45	NA	NA	NA	20	26	NA	NA	NA	1	1	NA	NA	NA	3	3	NA	NA	NA	"Traveling"	"Traveling"	NA	NA	NA
"47"	"L11441868_obs1603937_2021"	1	1	0	0	1	5	5.2969868	-75.0551111	1470	62	7.13333333333333	8.66666666666667	11.9333333333333	17.05	16.2666666666667	25	18	4	5	60	1.23	0.6	0	0	1.11	2	1	1	1	1	"Traveling"	"Traveling"	"Stationary"	"Stationary"	"Traveling"
"48"	"L11441868_obs1603937,obs1439256_2021"	1	1	1	1	1	5	5.2969868	-75.0551111	1470	62	6.88333333333333	7.26666666666667	6.16666666666667	6.53333333333333	6.51666666666667	25	65	80	125	130	0	2.11	2.4	3	2.86	2	2	2	2	2	"Stationary"	"Traveling"	"Traveling"	"Traveling"	"Traveling"
"49"	"L11441868_obs1603937,obs1439256,obs1439834_2021"	0	1	1	0	0	5	5.2969868	-75.0551111	1470	62	7.1	7.1	7.1	6.78333333333333	5.9	15	15	29	30	53	1.15	0	0.2	0.41	1.04	3	3	3	3	3	"Traveling"	"Stationary"	"Traveling"	"Traveling"	"Traveling"
"50"	"L11441868_obs1603937,obs1439834_2021"	1	1	1	1	NA	4	5.2969868	-75.0551111	1470	62	7.31666666666667	6	6	5.55	NA	34	80	96	122	NA	1.37	2.5	1.41	2.02	NA	4	2	2	3	NA	"Traveling"	"Traveling"	"Traveling"	"Traveling"	NA
"51"	"L11441868_obs1603937,obs1439834,obs1439256_2021"	0	0	1	1	1	5	5.2969868	-75.0551111	1470	62	16.5	7.51666666666667	6.6	6	5.71666666666667	27	34	49	85	85	1	0.85	1.49	1.2	1.7	3	3	3	3	3	"Traveling"	"Traveling"	"Traveling"	"Traveling"	"Traveling"
"52"	"L11578444_obs1321753_2021"	1	0	0	1	1	5	5.4315306	-74.9071185	783	51	7.58333333333333	9.88333333333333	7.7	16.1	6.05	12	17	18	14	96	0	0.26	0	0	0.65	1	1	1	1	2	"Stationary"	"Traveling"	"Stationary"	"Stationary"	"Traveling"
"53"	"L11578444_obs2248366_2021"	1	1	0	1	1	5	5.4315306	-74.9071185	783	51	16.6333333333333	6.88333333333333	17.3333333333333	16.2	16.25	17	17	20	56	48	0.57	0.49	0.46	0.66	0.9	1	1	1	1	1	"Traveling"	"Traveling"	"Traveling"	"Traveling"	"Traveling"
"54"	"L11578444_obs2248366,obs1321753_2021"	1	1	1	1	0	5	5.4315306	-74.9071185	783	51	6.93333333333333	5.83333333333333	8.23333333333333	6.8	6.95	45	64	37	34	1	1.3	0.7	0.53	1.09	0	1	1	1	1	1	"Traveling"	"Traveling"	"Traveling"	"Traveling"	"Stationary"
"55"	"L11578444_obs2807943_2021"	1	1	1	1	NA	4	5.4315306	-74.9071185	783	51	16.5	16.2666666666667	16.4833333333333	16.05	NA	65	89	70	91	NA	0.68	1.96	0.79	0.8	NA	1	1	2	1	NA	"Traveling"	"Traveling"	"Traveling"	"Traveling"	NA
"56"	"L11594611_obs2044848_2021"	0	1	0	NA	NA	3	5.3626478	-75.1534236	2429	57	7.06666666666667	5.73333333333333	9.3	NA	NA	134	240	102	NA	NA	0	3.41	3.42	NA	NA	2	1	1	NA	NA	"Stationary"	"Traveling"	"Traveling"	NA	NA
"57"	"L11622968_obs773487_2021"	0	0	0	NA	NA	3	5.0836883	-75.5249659	2016	94	16.4333333333333	21.15	9.85	NA	NA	28	20	18	NA	NA	0	0	0	NA	NA	1	1	1	NA	NA	"Stationary"	"Stationary"	"Stationary"	NA	NA
"58"	"L11771445_obs773487_2021"	0	0	NA	NA	NA	2	5.0585809	-75.5379186	1807	65	8.45	17.8	NA	NA	NA	10	8	NA	NA	NA	0.1	0.2	NA	NA	NA	1	2	NA	NA	NA	"Traveling"	"Traveling"	NA	NA	NA
"59"	"L11836331_obs793173_2021"	1	1	1	NA	NA	3	5.3755957	-75.1628854	2036	62	6.56666666666667	8.06666666666667	9.08333333333333	NA	NA	241	188	208	NA	NA	4.58	2.03	4.48	NA	NA	1	1	2	NA	NA	"Traveling"	"Traveling"	"Traveling"	NA	NA
"60"	"L11918683_obs1792158_2021"	0	0	0	NA	NA	3	5.08203	-75.446232	2521	48	9.6	8.56666666666667	7.76666666666667	NA	NA	87	29	113	NA	NA	2.033	0.498	2.672	NA	NA	1	1	1	NA	NA	"Traveling"	"Traveling"	"Traveling"	NA	NA
"61"	"L11952015_obs1790202_2021"	1	1	1	0	1	5	5.0447172	-75.4767856	2117	57	7.2	9.45	16.4833333333333	7	16	64	54	30	90	30	0.63	0.33	0.4	0.3	0	1	1	1	1	1	"Traveling"	"Traveling"	"Traveling"	"Traveling"	"Stationary"
"62"	"L11957363_obs1439256_2021"	0	0	NA	NA	NA	2	5.295485	-75.0535835	1470	62	15.1333333333333	17.0833333333333	NA	NA	NA	15	20	NA	NA	NA	0	0	NA	NA	NA	1	1	NA	NA	NA	"Stationary"	"Stationary"	NA	NA	NA
"63"	"L11972622_obs1140789,obs1134050,obs1469735_2021"	0	0	NA	NA	NA	2	5.4397573	-75.1094461	1970	48	8.9	6.53333333333333	NA	NA	NA	188	240	NA	NA	NA	4.22	1.12	NA	NA	NA	2	2	NA	NA	NA	"Traveling"	"Traveling"	NA	NA	NA
"64"	"L12052655_obs1627309_2021"	0	0	0	0	1	5	5.0519416	-75.5258084	2005	97	7.5	7.68333333333333	11.4	16.0833333333333	13.2	45	15	45	30	42	1	1	1	1	1	1	1	1	1	1	"Traveling"	"Traveling"	"Traveling"	"Traveling"	"Traveling"
"65"	"L12086289_obs1589994_2021"	1	0	NA	NA	NA	2	5.3909385	-74.9284457	763	34	6.5	15.6666666666667	NA	NA	NA	197	92	NA	NA	NA	7.5	2.16	NA	NA	NA	2	1	NA	NA	NA	"Traveling"	"Traveling"	NA	NA	NA
"66"	"L12086289_obs1836622_2021"	1	1	NA	NA	NA	2	5.3909385	-74.9284457	763	34	4.25	13.0833333333333	NA	NA	NA	294	40	NA	NA	NA	1.43	0.53	NA	NA	NA	1	1	NA	NA	NA	"Traveling"	"Traveling"	NA	NA	NA
"67"	"L12086289_obs1862587,obs1208420,obs920505,obs622414,obs397020,obs629554,obs1934010_2021"	0	1	NA	NA	NA	2	5.3909385	-74.9284457	763	34	7.83333333333333	10.1666666666667	NA	NA	NA	127	77	NA	NA	NA	1.36	1	NA	NA	NA	6	6	NA	NA	NA	"Traveling"	"Traveling"	NA	NA	NA
"68"	"L12086289_obs1862587,obs1934010_2021"	1	0	NA	NA	NA	2	5.3909385	-74.9284457	763	34	14.5	15.0666666666667	NA	NA	NA	223	110	NA	NA	NA	2.59	4.45	NA	NA	NA	2	2	NA	NA	NA	"Traveling"	"Traveling"	NA	NA	NA
"69"	"L12086289_obs397020,obs622414,obs629554_2021"	1	1	NA	NA	NA	2	5.3909385	-74.9284457	763	34	12.7666666666667	8.78333333333333	NA	NA	NA	50	80	NA	NA	NA	0.4	0.63	NA	NA	NA	3	3	NA	NA	NA	"Traveling"	"Traveling"	NA	NA	NA
"70"	"L12086289_obs891143_2021"	0	0	0	0	NA	4	5.3909385	-74.9284457	763	34	14.8333333333333	6.53333333333333	9.05	10.75	NA	102	129	64	21	NA	0.7	1.44	0.62	0	NA	2	4	4	4	NA	"Traveling"	"Traveling"	"Traveling"	"Stationary"	NA
"71"	"L12153872_obs1025697_2021"	0	1	NA	NA	NA	2	5.0433864	-75.4793311	2075.5	74	12.5	10.3333333333333	NA	NA	NA	20	40	NA	NA	NA	0.3	0.5	NA	NA	NA	1	1	NA	NA	NA	"Traveling"	"Traveling"	NA	NA	NA
"72"	"L12173934_obs1771546_2021"	0	0	NA	NA	NA	2	5.029036	-75.412029	2457	37	7.8	7.9	NA	NA	NA	230	280	NA	NA	NA	1.57	3.93	NA	NA	NA	1	1	NA	NA	NA	"Traveling"	"Traveling"	NA	NA	NA
"73"	"L12173934_obs645717_2021"	1	0	NA	NA	NA	2	5.029036	-75.412029	2457	37	7.46666666666667	6.5	NA	NA	NA	120	180	NA	NA	NA	2	1	NA	NA	NA	1	2	NA	NA	NA	"Traveling"	"Traveling"	NA	NA	NA
"74"	"L12209381_obs1836622_2021"	1	0	1	NA	NA	3	5.3822432	-75.1643066	2078	68	6.8	18.25	7.18333333333333	NA	NA	71	11	34	NA	NA	2.71	1.57	2.91	NA	NA	1	1	1	NA	NA	"Traveling"	"Traveling"	"Traveling"	NA	NA
"75"	"L12209534_obs1836622_2021"	0	1	1	1	0	5	5.3797772	-75.1513949	1984	62	13.2166666666667	15.9333333333333	7.23333333333333	11.65	16.95	82	127	74	167	14	0.22	6.31	0.29	0.7	0.77	1	1	1	1	1	"Traveling"	"Traveling"	"Traveling"	"Traveling"	"Traveling"
"76"	"L12360437_obs914933_2021"	1	1	1	1	1	5	4.9423233	-75.6036417	1786	60	7.9	7.45	7.4	8.16666666666667	9.41666666666667	240	180	180	180	200	0	0	0	0	1.03	3	1	3	1	3	"Stationary"	"Stationary"	"Stationary"	"Stationary"	"Traveling"
"77"	"L12379510_obs1900743_2021"	0	0	0	NA	NA	3	5.0471347	-75.5880473	1280	60	21.4666666666667	7.95	8.01666666666667	NA	NA	7	132	172	NA	NA	1.609	1.32	1.11	NA	NA	1	1	1	NA	NA	"Traveling"	"Traveling"	"Traveling"	NA	NA
"78"	"L12445416_obs668929_2021"	0	1	1	NA	NA	3	4.9389206	-75.5069053	2166.5	45	11.15	13.35	15.4166666666667	NA	NA	45	14	5	NA	NA	0.46	0	0	NA	NA	1	1	1	NA	NA	"Traveling"	"Stationary"	"Stationary"	NA	NA
"79"	"L12445416_obs668929,obs734056,obs1919766_2021"	1	1	NA	NA	NA	2	4.9389206	-75.5069053	2166.5	45	7.68333333333333	8.13333333333333	NA	NA	NA	90	96	NA	NA	NA	2	0.22	NA	NA	NA	10	1	NA	NA	NA	"Traveling"	"Traveling"	NA	NA	NA
"80"	"L12445416_obs734056,obs668929,obs1919766_2021"	1	0	NA	NA	NA	2	4.9389206	-75.5069053	2166.5	45	8.68333333333333	9.2	NA	NA	NA	96	60	NA	NA	NA	0.86	0	NA	NA	NA	10	5	NA	NA	NA	"Traveling"	"Stationary"	NA	NA	NA
"81"	"L1252500_obs1025895,obs669168_2021"	0	0	NA	NA	NA	2	5.0732224	-75.4378641	2535	20	9.06666666666667	8.25	NA	NA	NA	103	36	NA	NA	NA	1.27	0.31	NA	NA	NA	4	3	NA	NA	NA	"Traveling"	"Traveling"	NA	NA	NA
"82"	"L1252500_obs1414571_2021"	0	0	1	NA	NA	3	5.0732224	-75.4378641	2535	20	10.2333333333333	7.08333333333333	9.06666666666667	NA	NA	103	12	176	NA	NA	1.49	0.1	0	NA	NA	1	1	1	NA	NA	"Traveling"	"Traveling"	"Stationary"	NA	NA
"83"	"L1252500_obs152889,obs207545_2021"	0	0	NA	NA	NA	2	5.0732224	-75.4378641	2535	20	6.11666666666667	8.28333333333333	NA	NA	NA	52	30	NA	NA	NA	0.57	2.24	NA	NA	NA	1	1	NA	NA	NA	"Traveling"	"Traveling"	NA	NA	NA
"84"	"L1252500_obs504374,obs968914,obs1212362_2021"	0	0	NA	NA	NA	2	5.0732224	-75.4378641	2535	20	10.1166666666667	13.8333333333333	NA	NA	NA	121	138	NA	NA	NA	0.7	1.4	NA	NA	NA	4	4	NA	NA	NA	"Traveling"	"Traveling"	NA	NA	NA
"85"	"L1252500_obs538149_2021"	0	0	0	0	0	5	5.0732224	-75.4378641	2535	20	5.55	6.31666666666667	10.1333333333333	13.0833333333333	14.0833333333333	35	218	58	50	45	0.805	3.366	1.076	0.483	6.437	10	10	10	10	10	"Traveling"	"Traveling"	"Traveling"	"Traveling"	"Traveling"
"86"	"L1252500_obs543784,obs553039_2021"	0	0	0	0	0	5	5.0732224	-75.4378641	2535	20	8.1	8.63333333333333	8.91666666666667	9.58333333333333	11.3666666666667	31	12	34	64	39	0	0.16	0.17	0.48	0	7	4	4	5	5	"Stationary"	"Traveling"	"Traveling"	"Traveling"	"Stationary"
"87"	"L1252500_obs621924_2021"	0	0	0	NA	NA	3	5.0732224	-75.4378641	2535	20	6.08333333333333	6.33333333333333	9.66666666666667	NA	NA	102	214	74	NA	NA	0	4	3.18	NA	NA	1	2	2	NA	NA	"Stationary"	"Traveling"	"Traveling"	NA	NA
