id;lon;lat;scientificName
157666275;-85.4031;42.4052;Graptemys geographica
157672398;-79.8753;43.2152;Graptemys geographica
157807176;-81.364;43.0856;Graptemys geographica
157838165;-77.8131;44.2541;Graptemys geographica
157848299;-76.0988;44.3808;Graptemys geographica
157853838;-76.2578;44.5366;Graptemys geographica
157942189;-80.1151;42.1588;Graptemys geographica
157797422;-79.8275;43.3252;Graptemys geographica
157996703;-79.9091;43.2213;Graptemys geographica
158018862;-79.8404;45.0655;Graptemys geographica
158152066;-83.7027;42.2771;Graptemys geographica
158168450;-83.908;42.4048;Graptemys geographica
158202640;-78.321;44.2175;Graptemys geographica
158204223;-81.2729;42.8544;Graptemys geographica
158212278;-85.7087;36.0294;Graptemys geographica
158229592;-76.1532;44.8843;Graptemys geographica
158377267;-75.967;45.3768;Graptemys geographica
158141697;-85.6004;43.1712;Graptemys geographica
158339447;-76.0705;44.3409;Graptemys geographica
158354672;-85.8171;37.288;Graptemys geographica
158362305;-79.932;44.6056;Graptemys geographica
158234845;-79.8015;44.9774;Graptemys geographica
158516230;-83.3912;40.2517;Graptemys geographica
158311583;-85.18;42.2187;Graptemys geographica
158316957;-78.1255;44.5963;Graptemys geographica
158590074;-76.2707;45.2208;Graptemys geographica
158580287;-81.8747;43.1457;Graptemys geographica
158568244;-85.3992;42.4038;Graptemys geographica
159118854;-75.0622;40.5141;Graptemys geographica
159148410;-76.2394;44.2674;Graptemys geographica
159155452;-78.0633;44.4477;Graptemys geographica
159241391;-76.0373;44.3925;Graptemys geographica
159245799;-76.0389;44.3977;Graptemys geographica
159258357;-75.8841;44.351;Graptemys geographica
159274262;-85.5735;35.0947;Graptemys geographica
159312668;-76.4823;44.3273;Graptemys geographica
159325216;-80.3191;43.032;Graptemys geographica
159333650;-76.2045;44.7655;Graptemys geographica
159339482;-83.0313;40.0818;Graptemys geographica
159343960;-76.0097;44.8477;Graptemys geographica
159397005;-76.2709;44.9505;Graptemys geographica
159407080;-78.2634;44.3934;Graptemys geographica
159438068;-76.5457;44.6419;Graptemys geographica
159444333;-76.2058;44.6001;Graptemys geographica
159295068;-79.8636;43.3607;Graptemys geographica
159459472;-75.4409;45.4644;Graptemys geographica
159465339;-84.7916;36.4116;Graptemys geographica
159515700;-79.8649;45.0071;Graptemys geographica
159537352;-78.2781;44.4376;Graptemys geographica
159567711;-83.8547;35.7649;Graptemys geographica
159491755;-76.3588;45.3308;Graptemys geographica
159641277;-85.3279;42.5224;Graptemys geographica
159643869;-81.3368;43.1036;Graptemys geographica
159635053;-76.3166;44.9724;Graptemys geographica
159670365;-81.9925;42.3775;Graptemys geographica
159686701;-84.6806;41.6987;Graptemys geographica
159700817;-75.6552;40.2481;Graptemys geographica
159710409;-81.9454;42.3398;Graptemys geographica
159723240;-79.9869;43.3179;Graptemys geographica
159731219;-85.4006;42.4038;Graptemys geographica
159741149;-84.5923;42.5988;Graptemys geographica
159624971;-81.7759;36.8866;Graptemys geographica
159798059;-85.4031;42.4052;Graptemys geographica
159800877;-76.2584;44.76;Graptemys geographica
159806822;-79.9434;43.3407;Graptemys geographica
159814421;-77.4985;44.2541;Graptemys geographica
159817288;-81.8742;42.3734;Graptemys geographica
159827030;-76.6506;44.7847;Graptemys geographica
159758247;-84.8455;38.0684;Graptemys geographica
159951659;-77.4419;45.7609;Graptemys geographica
159961968;-81.3217;42.9641;Graptemys geographica
159848447;-73.2518;44.4614;Graptemys geographica
159859527;-73.3022;44.2793;Graptemys geographica
160037792;-84.7861;43.5984;Graptemys geographica
