"","X","Cam.Site","scientificName","vernacularName","eventDate","eventTime","organismQuantity","class","order","family","genus","filename"
"707",717,"Rumiyaco1_3318","Cuniculus paca","Guagua","19/08/2019","23:32",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Rumiyaco1_3318_08190217.JPG"
"708",718,"Rumiyaco1_3318","Cuniculus paca","Guagua","21/08/2019","0:48",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Rumiyaco1_3318_08210228.JPG"
"709",719,"Rumiyaco1_3318","Cuniculus paca","Guagua","23/08/2019","19:13",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Rumiyaco1_3318_08230235.JPG"
"710",720,"Rumiyaco1_3318","Cuniculus paca","Guagua","24/08/2019","0:01",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Rumiyaco1_3318_08240241.JPG"
"711",721,"Rumiyaco1_3318","Cuniculus paca","Guagua","25/08/2019","20:54",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Rumiyaco1_3318_08250244.JPG"
"712",722,"Rumiyaco1_3318","Cuniculus paca","Guagua","25/08/2019","23:03",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Rumiyaco1_3318_08250250.JPG"
"713",723,"Rumiyaco1_3318","Cuniculus paca","Guagua","27/08/2019","20:18",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Rumiyaco1_3318_08270255.JPG"
"717",727,"Rumiyaco1_3318","Cuniculus paca","Guagua","29/08/2019","22:18",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Rumiyaco1_3318_08290282.JPG"
"719",729,"Rumiyaco1_3318","Cuniculus paca","Guagua","4/09/2019","0:28",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Rumiyaco1_3318_09040301.JPG"
"722",732,"Rumiyaco1_3318","Cuniculus paca","Guagua","5/09/2019","20:42",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Rumiyaco1_3318_09050313.JPG"
"732",742,"Rumuyaco1_3320","Cuniculus paca","Guagua","27/08/2019","22:39",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Rumuyaco1_3320_08270066.JPG"
"734",744,"Rumuyaco1_3320","Cuniculus paca","Guagua","29/08/2019","23:52",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Rumuyaco1_3320_08290084.JPG"
"736",746,"Rumuyaco1_3320","Cuniculus paca","Guagua","2/09/2019","21:39",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Rumuyaco1_3320_09020094.JPG"
"749",759,"Rumiyaco1_3325","Cuniculus paca","Guagua","12/08/2019","15:43",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Rumiyaco1_3325_01210132.JPG"
"751",761,"Rumiyaco1_3325","Cuniculus paca","Guagua","22/08/2019","12:03",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Rumiyaco1_3325_01310138.JPG"
"754",764,"Rumiyaco1_3325","Cuniculus paca","Guagua","29/08/2019","15:42",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Rumiyaco1_3325_02070157.JPG"
"756",766,"Rumiyaco1_3325","Cuniculus paca","Guagua","6/09/2019","16:40",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Rumiyaco1_3325_02150168.JPG"
"758",768,"Rumiyaco1_3335","Cuniculus paca","Guagua","27/07/2019","19:46",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Rumiyaco1_3335_07270009.JPG"
"762",772,"Rumiyaco1_3335","Cuniculus paca","Guagua","30/07/2019","19:49",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Rumiyaco1_3335_07300033.JPG"
"775",785,"Rumiyaco1_3335","Cuniculus paca","Guagua","23/08/2019","22:34",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Rumiyaco1_3335_08230243.JPG"
"777",787,"Rumiyaco1_3335","Cuniculus paca","Guagua","25/08/2019","23:08",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Rumiyaco1_3335_08250249.JPG"
"779",789,"Rumiyaco1_3335","Cuniculus paca","Guagua","29/08/2019","0:12",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Rumiyaco1_3335_08290257.JPG"
"781",791,"Rumiyaco1_3335","Cuniculus paca","Guagua","30/08/2019","20:02",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Rumiyaco1_3335_08300269.JPG"
"785",795,"Rumiyaco1_3335","Cuniculus paca","Guagua","5/09/2019","23:52",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Rumiyaco1_3335_09050297.JPG"
"786",796,"Rumiyaco1_3335","Cuniculus paca","Guagua","6/09/2019","23:18",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Rumiyaco1_3335_09060303.JPG"
"788",798,"Rumiyaco2_2164","Cuniculus paca","Guagua","31/07/2019","21:03",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Rumiyaco2_2164_07310013.JPG"
"789",799,"Rumiyaco2_2164","Cuniculus paca","Guagua","3/08/2019","3:22",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Rumiyaco2_2164_08030016.JPG"
"790",800,"Rumiyaco2_2164","Cuniculus paca","Guagua","5/08/2019","22:30",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Rumiyaco2_2164_08050019.JPG"
"791",801,"Rumiyaco2_2164","Cuniculus paca","Guagua","8/08/2019","3:42",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Rumiyaco2_2164_08080028.JPG"
"793",803,"Rumiyaco2_2164","Cuniculus paca","Guagua","12/08/2019","2:15",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Rumiyaco2_2164_08120036.JPG"
"794",804,"Rumiyaco2_2164","Cuniculus paca","Guagua","15/08/2019","0:57",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Rumiyaco2_2164_08150037.JPG"
"795",805,"Rumiyaco2_2164","Cuniculus paca","Guagua","15/08/2019","23:37",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Rumiyaco2_2164_08150045.JPG"
"796",806,"Rumiyaco2_2164","Cuniculus paca","Guagua","16/08/2019","0:49",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Rumiyaco2_2164_08160046.JPG"
"803",813,"Rumiyaco2_2171","Cuniculus paca","Guagua","30/07/2019","15:20",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Rumiyaco2_2171_01090007.JPG"
"806",816,"Rumiyaco2_2173","Cuniculus paca","Guagua","24/07/2019","2:29",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Rumiyaco2_2173_07240004.JPG"
"815",825,"Rumiyaco2_2173","Cuniculus paca","Guagua","29/07/2019","3:44",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Rumiyaco2_2173_07290079.JPG"
"818",828,"Rumiyaco2_2173","Cuniculus paca","Guagua","1/08/2019","1:07",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Rumiyaco2_2173_08010121.JPG"
"819",829,"Rumiyaco2_2173","Cuniculus paca","Guagua","2/08/2019","0:23",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Rumiyaco2_2173_08020124.JPG"
"822",832,"Rumiyaco2_2173","Cuniculus paca","Guagua","2/08/2019","20:05",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Rumiyaco2_2173_08020141.JPG"
"823",833,"Rumiyaco2_2173","Cuniculus paca","Guagua","3/08/2019","2:49",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Rumiyaco2_2173_08030142.JPG"
"827",837,"Rumiyaco2_2173","Cuniculus paca","Guagua","5/08/2019","19:09",1,"Mammalia","Rodentia","Cuniculidae","Cuniculus","Rumiyaco2_2173_08050190.JPG"
