"scientific_name"	"id"	"time"	"decimalLongitude"	"decimalLatitude"	"lon"	"lat"	"bio1"	"bio2"	"bio4"
"Panthera onca"	404	"1981"	-105.441082	21.719073	-4006839.75584613	-1324118.09157854	2965	69	577
"Panthera onca"	403	"1981"	-105.560441	21.766885	-4016261.95864807	-1313279.48283623	2965	69	577
"Panthera onca"	402	"1981"	-105.441812	21.77431	-4004180.36028402	-1319206.96558314	2965	69	577
"Panthera onca"	401	"1981"	-105.56678	21.705952	-4019909.96467783	-1318294.60552924	2965	69	577
"Panthera onca"	400	"1981"	-105.434093	21.685736	-4007796.70685048	-1327444.53211475	2965	69	577
"Panthera onca"	399	"1981"	-105.463524	21.798311	-4005137.2025955	-1315887.33996427	2965	69	577
"Panthera onca"	398	"1981"	-105.499256	21.619681	-4017509.03955962	-1329647.25014135	2965	69	577
"Panthera onca"	397	"1981"	-105.489804	21.729164	-4011155.58562946	-1320526.11208733	2965	69	577
"Panthera onca"	396	"1981"	-105.505587	21.672126	-4015539.22746424	-1324675.72687304	2965	69	577
"Panthera onca"	395	"1981"	-105.465433	21.743657	-4008030.35928638	-1320600.56777267	2965	69	577
"Panthera onca"	394	"1981"	-105.492927	21.732969	-4011275.75838653	-1320017.43632807	2965	69	577
"Panthera onca"	314	"1981"	-105.521213	21.779569	-4011760.90473747	-1314340.31071382	2956	68	569
"Panthera onca"	313	"1981"	-105.426853	21.759612	-4003429.2114132	-1321331.87204039	2956	68	569
"Panthera onca"	312	"1981"	-105.420494	21.790096	-4001293.91421676	-1318995.20314696	2956	68	569
"Panthera onca"	311	"1981"	-105.564311	21.631293	-4023367.64933089	-1325006.0445948	2956	68	569
"Panthera onca"	310	"1981"	-105.592612	21.706157	-4022451.0077618	-1316839.3789768	2956	68	569
"Panthera onca"	309	"1981"	-105.452218	21.715559	-4008114.31735609	-1323810.44049267	2956	68	569
"Panthera onca"	308	"1981"	-105.467644	21.639358	-4013408.27048128	-1329670.11537648	2956	68	569
"Panthera onca"	307	"1981"	-105.57025	21.634404	-4023800.55926176	-1324401.54911229	2956	68	569
"Panthera onca"	306	"1981"	-105.406765	21.659458	-4006391.55687845	-1331276.1684152	2956	68	569
"Panthera onca"	305	"1981"	-105.567475	21.645311	-4022985.51107912	-1323595.79033467	2956	68	569
"Panthera onca"	304	"1981"	-77.488727	-1.035258	-1281287.62162003	-4428852.82678396	2956	68	569
"Panthera onca"	303	"1981"	-75.518608	-0.652688	-998267.748924492	-4427121.50027628	2956	68	569
"Panthera onca"	302	"1981"	-76.072255	-0.758781	-1077694.26803589	-4428286.29806228	2956	68	569
"Panthera onca"	301	"1981"	-105.495407	21.603325	-4017937.54834741	-1331301.73312755	2956	68	569
"Panthera onca"	300	"1981"	-105.434815	21.740695	-4005151.2749307	-1322558.9901401	2956	68	569
"Panthera onca"	299	"1981"	-105.425199	21.730147	-4004722.25163005	-1324021.94159508	2956	68	569
"Panthera onca"	298	"1981"	-105.496863	21.668709	-4014845.87684068	-1325461.40315736	2956	68	569
"Panthera onca"	297	"1981"	-105.497364	21.609985	-4017801.65296305	-1330606.38780804	2956	68	569
"Panthera onca"	296	"1981"	-105.434514	21.669967	-4008617.70698553	-1328811.204979	2956	68	569
"Panthera onca"	295	"1981"	-105.484267	21.618869	-4016066.27681588	-1330551.77982124	2956	68	569
"Panthera onca"	294	"1981"	-105.448974	21.651125	-4010979.45686083	-1329669.64003964	2956	68	569
"Panthera onca"	293	"1981"	-105.44551	21.616597	-4012343.31260198	-1332904.46031483	2956	68	569
"Panthera onca"	233	"1981"	-105.480365	21.751901	-4009097.54141341	-1319045.66278737	2956	68	569
"Panthera onca"	234	"1981"	-88.596299	16.703825	-2385556.07150449	-2536859.7148184	2956	68	569
"Panthera onca"	235	"1981"	-105.540178	21.661953	-4019462.5048638	-1323649.07177905	2956	68	569
"Panthera onca"	236	"1981"	-83.589544	10.563141	-1923838.51189372	-3260046.65735503	2956	68	569
"Panthera onca"	237	"1981"	-105.522724	21.6926	-4016219.14946329	-1321919.87352211	2956	68	569
"Panthera onca"	238	"1981"	-105.542878	21.768069	-4014469.6264292	-1314150.86940981	2956	68	569
"Panthera onca"	239	"1981"	-105.554308	21.766681	-4015666.719596	-1313638.22616924	2956	68	569
"Panthera onca"	240	"1981"	-56.416793	-17.033981	1931455.83568856	-5624765.73613125	2956	68	569
"Panthera onca"	241	"1981"	-105.573134	21.633206	-4024145.05518106	-1324346.44901935	2956	68	569
"Panthera onca"	242	"1981"	-105.428828	21.713649	-4005896.45584912	-1325275.55580554	2956	68	569
"Panthera onca"	243	"1981"	-88.25753	16.824116	-2343169.08653571	-2536576.51630862	2956	68	569
"Panthera onca"	244	"1981"	-71.027686	-12.079855	-392778.665974098	-5405975.07469418	2956	68	569
"Panthera onca"	245	"1981"	-67.68931	6.12016	108734.539615401	-3873191.58911182	2956	68	569
"Panthera onca"	246	"1981"	-67.75761	6.13851	99556.8745992079	-3871615.33641008	2956	68	569
"Panthera onca"	247	"1981"	-67.74546	6.08136	101240.612730356	-3876813.36512368	2956	68	569
"Panthera onca"	248	"1981"	-105.202469	20.856164	-4025542.00210353	-1413342.07621126	2956	68	569
"Panthera onca"	249	"1981"	-76.77283	0.87822	-1160731.88623	-4275990.68549703	2956	68	569
"Panthera onca"	250	"1981"	-76.77283	0.87822	-1160731.88623	-4275990.68549703	2956	68	569
"Panthera onca"	251	"1981"	-76.77283	0.87822	-1160731.88623	-4275990.68549703	2956	68	569
"Panthera onca"	252	"1981"	-76.78817	0.867748	-1162979.62764013	-4276654.64484856	2956	68	569
"Panthera onca"	253	"1981"	-76.78817	0.867748	-1162979.62764013	-4276654.64484856	2956	68	569
"Panthera onca"	254	"1981"	-76.78817	0.867748	-1162979.62764013	-4276654.64484856	2956	68	569
"Panthera onca"	255	"1981"	-76.793941	0.885808	-1163604.85166875	-4274991.40602934	2956	68	569
"Panthera onca"	256	"1981"	-76.793941	0.885808	-1163604.85166875	-4274991.40602934	2956	68	569
"Panthera onca"	152	"1981"	-76.793941	0.885808	-1163604.85166875	-4274991.40602934	2962	68	575
"Panthera onca"	153	"1981"	-76.793941	0.885808	-1163604.85166875	-4274991.40602934	2962	68	575
"Panthera onca"	154	"1981"	-76.793941	0.885808	-1163604.85166875	-4274991.40602934	2962	68	575
"Panthera onca"	155	"1981"	-76.768313	0.876097	-1160122.10058258	-4276247.81277925	2962	68	575
"Panthera onca"	156	"1981"	-76.768313	0.876097	-1160122.10058258	-4276247.81277925	2962	68	575
"Panthera onca"	149	"1981"	-76.768313	0.876097	-1160122.10058258	-4276247.81277925	2965	69	577
"Panthera onca"	150	"1981"	-76.81185	0.869896	-1166266.14713726	-4276086.32514473	2965	69	577
"Panthera onca"	151	"1981"	-76.81185	0.869896	-1166266.14713726	-4276086.32514473	2965	69	577
"Panthera onca"	202	"1981"	-76.81185	0.869896	-1166266.14713726	-4276086.32514473	2965	69	577
"Panthera onca"	203	"1981"	-76.81185	0.869896	-1166266.14713726	-4276086.32514473	2965	69	577
"Panthera onca"	204	"1981"	-76.81185	0.869896	-1166266.14713726	-4276086.32514473	2965	69	577
"Panthera onca"	335	"1981"	-76.81185	0.869896	-1166266.14713726	-4276086.32514473	2965	69	577
"Panthera onca"	336	"1981"	-76.81185	0.869896	-1166266.14713726	-4276086.32514473	2965	69	577
"Panthera onca"	337	"1981"	-76.81185	0.869896	-1166266.14713726	-4276086.32514473	2965	69	577
"Panthera onca"	338	"1981"	-76.81185	0.869896	-1166266.14713726	-4276086.32514473	2965	69	577
"Panthera onca"	339	"1981"	-76.77283	0.87822	-1160731.88623	-4275990.68549703	2965	69	577
"Panthera onca"	350	"1981"	-105.513765	21.771426	-4011429.10197371	-1315471.41678324	2965	69	577
"Panthera onca"	351	"1981"	-105.581042	21.708769	-4021178.81678963	-1317253.17232439	2965	69	577
"Panthera onca"	352	"1981"	-105.55342	21.647356	-4021494.8163086	-1324197.89564933	2965	69	577
"Panthera onca"	353	"1981"	-105.440805	21.67813	-4008836.47985904	-1327742.76119237	2965	69	577
"Panthera onca"	354	"1981"	-105.447938	21.739781	-4006493.36932498	-1321912.26686326	2965	69	577
"Panthera onca"	355	"1981"	-105.481801	21.742227	-4009718.25941077	-1319818.77441359	2965	69	577
"Panthera onca"	217	"1981"	-105.44581	21.689014	-4008793.38158374	-1326505.78635969	2956	68	569
"Panthera onca"	218	"1981"	-105.48554	21.766276	-4008897.04662644	-1317491.38909503	2956	68	569
"Panthera onca"	219	"1981"	-105.536121	21.703158	-4017019.8155582	-1320245.27965221	2956	68	569
"Panthera onca"	220	"1981"	-105.421232	21.786944	-4001522.6431368	-1319232.39098422	2956	68	569
"Panthera onca"	221	"1981"	-105.523981	21.708479	-4015556.73635539	-1320451.10745622	2956	68	569
"Panthera onca"	222	"1981"	-105.440899	21.638766	-4010791.39216012	-1331206.88879143	2956	68	569
"Panthera onca"	223	"1981"	-105.52211	21.752735	-4013179.20902973	-1316655.45467489	2956	68	569
"Panthera onca"	224	"1981"	-105.529674	21.771936	-4012974.46530477	-1314543.34073016	2956	68	569
"Panthera onca"	225	"1981"	-105.491411	21.622037	-4016616.34998267	-1329875.74824478	2956	68	569
"Panthera onca"	226	"1981"	-105.537198	21.633221	-4020591.34292143	-1326345.03259166	2956	68	569
"Panthera onca"	227	"1981"	-56.143431	-19.508122	2005169.4974812	-5793690.94844045	2956	68	569
"Panthera onca"	228	"1981"	-56.050504	-19.523174	2020284.23359189	-5792159.89764583	2956	68	569
"Panthera onca"	229	"1981"	-55.450264	5.349317	1753445.66987987	-3785218.80876954	2956	68	569
"Panthera onca"	230	"1981"	-50.155357	-6.134652	2701409.1560715	-4593269.81640664	2956	68	569
"Panthera onca"	231	"1981"	-50.022073	-6.115612	2720212.54294919	-4586755.58927511	2956	68	569
"Panthera onca"	232	"1981"	-73.42483	6.81985	-655691.090244919	-3787430.16434428	2956	68	569
"Panthera onca"	292	"1981"	-73.42483	6.82229	-655675.848807447	-3787206.82552756	2956	68	569
"Panthera onca"	216	"1981"	-105.539817	21.720936	-4016503.8647046	-1318473.73082458	2956	68	569
"Panthera onca"	169	"1981"	-76.768313	0.876097	-1160122.10058258	-4276247.81277925	2964	69	565
"Panthera onca"	148	"1981"	-76.768313	0.876097	-1160122.10058258	-4276247.81277925	2964	69	565
"Panthera onca"	147	"1981"	-76.768313	0.876097	-1160122.10058258	-4276247.81277925	2964	69	565
"Panthera onca"	146	"1981"	-76.768313	0.876097	-1160122.10058258	-4276247.81277925	2964	69	565
"Panthera onca"	291	"1981"	-76.768313	0.876097	-1160122.10058258	-4276247.81277925	2956	68	569
"Panthera onca"	290	"1981"	-76.768313	0.876097	-1160122.10058258	-4276247.81277925	2956	68	569
"Panthera onca"	289	"1981"	-76.768313	0.876097	-1160122.10058258	-4276247.81277925	2956	68	569
"Panthera onca"	288	"1981"	-76.768313	0.876097	-1160122.10058258	-4276247.81277925	2956	68	569
"Panthera onca"	287	"1981"	-76.78817	0.867748	-1162979.62764013	-4276654.64484856	2956	68	569
"Panthera onca"	286	"1981"	-76.78817	0.867748	-1162979.62764013	-4276654.64484856	2956	68	569
"Panthera onca"	285	"1981"	-76.78817	0.867748	-1162979.62764013	-4276654.64484856	2956	68	569
"Panthera onca"	284	"1981"	-76.768313	0.876097	-1160122.10058258	-4276247.81277925	2956	68	569
"Panthera onca"	283	"1981"	-76.768313	0.876097	-1160122.10058258	-4276247.81277925	2956	68	569
"Panthera onca"	282	"1981"	-76.768313	0.876097	-1160122.10058258	-4276247.81277925	2956	68	569
"Panthera onca"	281	"1981"	-76.768313	0.876097	-1160122.10058258	-4276247.81277925	2956	68	569
"Panthera onca"	280	"1981"	-76.768313	0.876097	-1160122.10058258	-4276247.81277925	2956	68	569
"Panthera onca"	279	"1981"	-76.768313	0.876097	-1160122.10058258	-4276247.81277925	2956	68	569
"Panthera onca"	278	"1981"	-76.768313	0.876097	-1160122.10058258	-4276247.81277925	2956	68	569
"Panthera onca"	277	"1981"	-76.768313	0.876097	-1160122.10058258	-4276247.81277925	2956	68	569
"Panthera onca"	276	"1981"	-76.81185	0.869896	-1166266.14713726	-4276086.32514473	2956	68	569
"Panthera onca"	275	"1981"	-76.81185	0.869896	-1166266.14713726	-4276086.32514473	2956	68	569
"Panthera onca"	274	"1981"	-76.81185	0.869896	-1166266.14713726	-4276086.32514473	2956	68	569
"Panthera onca"	273	"1981"	-76.81185	0.869896	-1166266.14713726	-4276086.32514473	2956	68	569
"Panthera onca"	272	"1981"	-76.81185	0.869896	-1166266.14713726	-4276086.32514473	2956	68	569
"Panthera onca"	271	"1981"	-76.81185	0.869896	-1166266.14713726	-4276086.32514473	2956	68	569
"Panthera onca"	270	"1981"	-76.81185	0.869896	-1166266.14713726	-4276086.32514473	2956	68	569
"Panthera onca"	269	"1981"	-76.81185	0.869896	-1166266.14713726	-4276086.32514473	2956	68	569
"Panthera onca"	268	"1981"	-76.81185	0.869896	-1166266.14713726	-4276086.32514473	2956	68	569
"Panthera onca"	267	"1981"	-76.81185	0.869896	-1166266.14713726	-4276086.32514473	2956	68	569
"Panthera onca"	266	"1981"	-76.81185	0.869896	-1166266.14713726	-4276086.32514473	2956	68	569
