site;y.1;y.2;y.3;y.4;y.5;y.6;y.7;y.8;y.9;y.10;huella;altitud;duration_minutes.1;duration_minutes.2;duration_minutes.3;duration_minutes.4;duration_minutes.5;duration_minutes.6;duration_minutes.7;duration_minutes.8;duration_minutes.9;duration_minutes.10
10759_6;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;65;1821;20;NA;NA;NA;NA;NA;NA;NA;NA;NA
10759_7;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;65;1821;75;NA;NA;NA;NA;NA;NA;NA;NA;NA
10760_0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;94;2016;5;NA;NA;NA;NA;NA;NA;NA;NA;NA
10760_1;1;0;NA;NA;NA;NA;NA;NA;NA;NA;94;2016;155;137;NA;NA;NA;NA;NA;NA;NA;NA
10760_4;0;1;0;1;1;1;1;1;1;1;94;2016;60;60;7;10;5;5;10;10;5;10
10760_6;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;94;2016;180;NA;NA;NA;NA;NA;NA;NA;NA;NA
10760_9;1;1;NA;NA;NA;NA;NA;NA;NA;NA;94;2016;240;180;NA;NA;NA;NA;NA;NA;NA;NA
10761_3;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;94;2061;20;NA;NA;NA;NA;NA;NA;NA;NA;NA
10762_10;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;62;2049.5;11;NA;NA;NA;NA;NA;NA;NA;NA;NA
10762_11;1;1;1;1;0;0;NA;NA;NA;NA;62;2049.5;144;60;144;211;144;123;NA;NA;NA;NA
10762_5;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;62;2049.5;5;NA;NA;NA;NA;NA;NA;NA;NA;NA
10762_8;1;1;NA;NA;NA;NA;NA;NA;NA;NA;62;2049.5;5;23;NA;NA;NA;NA;NA;NA;NA;NA
10762_9;1;0;1;NA;NA;NA;NA;NA;NA;NA;62;2049.5;55;10;2;NA;NA;NA;NA;NA;NA;NA
10763_0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;77;2171;31;NA;NA;NA;NA;NA;NA;NA;NA;NA
10763_11;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;77;2171;13;NA;NA;NA;NA;NA;NA;NA;NA;NA
10763_4;1;1;1;NA;NA;NA;NA;NA;NA;NA;77;2171;169;212;193;NA;NA;NA;NA;NA;NA;NA
10769_0;0;1;NA;NA;NA;NA;NA;NA;NA;NA;34;2521;60;171;NA;NA;NA;NA;NA;NA;NA;NA
10769_1;0;1;1;0;1;0;0;0;0;0;34;2521;20;101;92;34;4;130;12;5;62;100
10769_10;1;0;0;NA;NA;NA;NA;NA;NA;NA;34;2521;239;145;300;NA;NA;NA;NA;NA;NA;NA
10769_12;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;34;2521;117;NA;NA;NA;NA;NA;NA;NA;NA;NA
10769_2;0;1;1;0;1;NA;NA;NA;NA;NA;34;2521;2;37;180;115;88;NA;NA;NA;NA;NA
10769_3;1;1;1;0;NA;NA;NA;NA;NA;NA;34;2521;103;300;180;162;NA;NA;NA;NA;NA;NA
10769_4;0;1;1;0;1;NA;NA;NA;NA;NA;34;2521;192;108;129;23;197;NA;NA;NA;NA;NA
10769_5;1;1;1;0;1;1;NA;NA;NA;NA;34;2521;14;294;32;210;216;48;NA;NA;NA;NA
10769_6;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;34;2521;2;NA;NA;NA;NA;NA;NA;NA;NA;NA
10769_7;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;34;2521;300;NA;NA;NA;NA;NA;NA;NA;NA;NA
10769_8;1;1;NA;NA;NA;NA;NA;NA;NA;NA;34;2521;300;264;NA;NA;NA;NA;NA;NA;NA;NA
10770_10;0;0;NA;NA;NA;NA;NA;NA;NA;NA;22;2560;40;40;NA;NA;NA;NA;NA;NA;NA;NA
10770_11;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;22;2560;196;NA;NA;NA;NA;NA;NA;NA;NA;NA
10770_12;1;0;NA;NA;NA;NA;NA;NA;NA;NA;22;2560;144;75;NA;NA;NA;NA;NA;NA;NA;NA
10770_5;1;1;NA;NA;NA;NA;NA;NA;NA;NA;22;2560;6;200;NA;NA;NA;NA;NA;NA;NA;NA
10770_6;1;1;NA;NA;NA;NA;NA;NA;NA;NA;22;2560;142;242;NA;NA;NA;NA;NA;NA;NA;NA
10770_7;1;0;1;1;NA;NA;NA;NA;NA;NA;22;2560;300;69;132;230;NA;NA;NA;NA;NA;NA
10770_8;0;1;NA;NA;NA;NA;NA;NA;NA;NA;22;2560;70;135;NA;NA;NA;NA;NA;NA;NA;NA
10770_9;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;22;2560;62;NA;NA;NA;NA;NA;NA;NA;NA;NA
10771_12;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;20;2623;70;NA;NA;NA;NA;NA;NA;NA;NA;NA
10771_9;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;20;2623;24;NA;NA;NA;NA;NA;NA;NA;NA;NA
10773_4;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;20;2859;237;NA;NA;NA;NA;NA;NA;NA;NA;NA
10775_9;0;0;0;0;NA;NA;NA;NA;NA;NA;28;3254;30;27;50;46;NA;NA;NA;NA;NA;NA
10860_0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;65;1107;58;NA;NA;NA;NA;NA;NA;NA;NA;NA
10860_2;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;65;1107;60;NA;NA;NA;NA;NA;NA;NA;NA;NA
10861_0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;74;1018;19;NA;NA;NA;NA;NA;NA;NA;NA;NA
10861_11;0;0;0;0;0;NA;NA;NA;NA;NA;74;1018;4;16;2;22;6;NA;NA;NA;NA;NA
10862_0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;74;989;213;31;NA;NA;NA;NA;NA;NA;NA;NA
10870_4;1;1;NA;NA;NA;NA;NA;NA;NA;NA;62;1559;120;38;NA;NA;NA;NA;NA;NA;NA;NA
10871_4;0;0;1;0;NA;NA;NA;NA;NA;NA;62;1631;88;195;59;64;NA;NA;NA;NA;NA;NA
10872_4;0;0;0;0;0;NA;NA;NA;NA;NA;71;1421;15;60;91;14;30;NA;NA;NA;NA;NA
10872_5;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;71;1421;30;NA;NA;NA;NA;NA;NA;NA;NA;NA
10882_2;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;71;1121;10;NA;NA;NA;NA;NA;NA;NA;NA;NA
10883_4;0;0;0;0;0;NA;NA;NA;NA;NA;71;1041;66;34;64;53;16;NA;NA;NA;NA;NA
10883_6;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;71;1041;36;NA;NA;NA;NA;NA;NA;NA;NA;NA
10884_5;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;62;1024;39;NA;NA;NA;NA;NA;NA;NA;NA;NA
10884_6;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;62;1024;10;NA;NA;NA;NA;NA;NA;NA;NA;NA
10890_4;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;60;1124;222;NA;NA;NA;NA;NA;NA;NA;NA;NA
10890_5;0;0;NA;NA;NA;NA;NA;NA;NA;NA;60;1124;43;180;NA;NA;NA;NA;NA;NA;NA;NA
10893_10;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;62;1202;82;NA;NA;NA;NA;NA;NA;NA;NA;NA
10893_7;0;0;0;NA;NA;NA;NA;NA;NA;NA;62;1202;150;90;60;NA;NA;NA;NA;NA;NA;NA
10893_8;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;62;1202;8;NA;NA;NA;NA;NA;NA;NA;NA;NA
10894_0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;60;1230;300;NA;NA;NA;NA;NA;NA;NA;NA;NA
10894_1;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;60;1230;28;NA;NA;NA;NA;NA;NA;NA;NA;NA
10894_10;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;60;1230;98;NA;NA;NA;NA;NA;NA;NA;NA;NA
10894_2;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;60;1230;11;NA;NA;NA;NA;NA;NA;NA;NA;NA
10894_4;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;60;1230;223;NA;NA;NA;NA;NA;NA;NA;NA;NA
10894_5;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;60;1230;105;NA;NA;NA;NA;NA;NA;NA;NA;NA
10894_8;0;0;0;NA;NA;NA;NA;NA;NA;NA;60;1230;43;5;75;NA;NA;NA;NA;NA;NA;NA
10897_7;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;62;1398;240;NA;NA;NA;NA;NA;NA;NA;NA;NA
10897_9;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;62;1398;300;NA;NA;NA;NA;NA;NA;NA;NA;NA
10898_10;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;65;1531;10;NA;NA;NA;NA;NA;NA;NA;NA;NA
10898_2;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;65;1531;10;NA;NA;NA;NA;NA;NA;NA;NA;NA
10898_3;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;65;1531;65;NA;NA;NA;NA;NA;NA;NA;NA;NA
10898_9;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;65;1531;5;NA;NA;NA;NA;NA;NA;NA;NA;NA
10899_11;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;65;1777;111;NA;NA;NA;NA;NA;NA;NA;NA;NA
10899_8;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;65;1777;78;NA;NA;NA;NA;NA;NA;NA;NA;NA
10900_0;0;0;0;1;1;0;1;1;1;1;80;1885;116;84;75;120;120;80;32;60;29;45
10900_1;1;1;0;0;0;1;NA;NA;NA;NA;80;1885;79;60;5;5;5;85;NA;NA;NA;NA
10900_10;0;0;1;1;1;0;1;0;0;NA;80;1885;240;116;74;51;81;45;243;90;92;NA
10900_11;1;0;1;1;1;NA;NA;NA;NA;NA;80;1885;60;68;97;113;114;NA;NA;NA;NA;NA
10900_12;1;1;0;0;1;0;0;NA;NA;NA;80;1885;60;22;45;4;11;31;18;NA;NA;NA
10900_2;1;0;0;NA;NA;NA;NA;NA;NA;NA;80;1885;41;85;25;NA;NA;NA;NA;NA;NA;NA
10900_3;1;1;1;0;NA;NA;NA;NA;NA;NA;80;1885;210;210;258;150;NA;NA;NA;NA;NA;NA
