"","site","y.1","y.2","y.3","y.4","y.5","y.6","y.7","y.8","y.9","y.10","huella","altitud","duration_minutes.1","duration_minutes.2","duration_minutes.3","duration_minutes.4","duration_minutes.5","duration_minutes.6","duration_minutes.7","duration_minutes.8","duration_minutes.9","duration_minutes.10"
"1808","6759_6",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,191.5,120,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1809","6759_8",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,191.5,80,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1810","6817_3",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,1820,277,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1811","6856_10",1,0,NA,NA,NA,NA,NA,NA,NA,NA,54,1928,45,80,NA,NA,NA,NA,NA,NA,NA,NA
"1812","6875_0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,1000,47,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1813","6875_4",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,1000,40,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1814","6875_9",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,1000,30,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1815","6877_9",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,68,1041,60,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1816","6879_0",0,0,0,0,0,0,0,0,0,0,60,999,50,31,125,121,86,73,214,207,82,64
"1817","6879_1",0,0,0,0,0,0,NA,NA,NA,NA,60,999,239,150,92,138,29,6,NA,NA,NA,NA
"1818","6879_10",0,0,0,0,0,0,0,0,0,NA,60,999,60,145,178,136,160,300,180,166,91,NA
"1819","6879_11",0,0,0,0,NA,NA,NA,NA,NA,NA,60,999,132,102,153,60,NA,NA,NA,NA,NA,NA
"1820","6879_12",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,999,81,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1821","6879_2",0,0,0,0,0,0,0,0,0,0,60,999,150,182,27,98,246,127,280,150,243,89
"1822","6879_3",0,0,0,0,0,NA,NA,NA,NA,NA,60,999,193,100,120,180,40,NA,NA,NA,NA,NA
"1823","6879_4",0,0,0,0,0,0,0,NA,NA,NA,60,999,102,89,57,120,71,80,77,NA,NA,NA
"1824","6879_5",0,0,NA,NA,NA,NA,NA,NA,NA,NA,60,999,300,170,NA,NA,NA,NA,NA,NA,NA,NA
"1825","6879_6",0,0,0,0,NA,NA,NA,NA,NA,NA,60,999,120,291,60,56,NA,NA,NA,NA,NA,NA
"1826","6879_7",0,0,0,0,0,0,0,0,NA,NA,60,999,106,45,31,10,60,164,230,240,NA,NA
"1827","6879_8",0,0,0,0,0,NA,NA,NA,NA,NA,60,999,300,69,24,66,212,NA,NA,NA,NA,NA
"1828","6879_9",0,0,0,0,0,0,0,0,NA,NA,60,999,15,15,240,40,40,237,193,300,NA,NA
"1829","6880_3",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,889,120,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1830","6900_0",0,0,0,NA,NA,NA,NA,NA,NA,NA,65,194.5,77,150,90,NA,NA,NA,NA,NA,NA,NA
"1831","6900_1",0,0,0,0,0,0,0,0,0,0,65,194.5,210,45,244,59,57,4,159,16,84,6
"1832","6900_10",0,0,0,NA,NA,NA,NA,NA,NA,NA,65,194.5,155,98,70,NA,NA,NA,NA,NA,NA,NA
