"site","y.1","y.2","y.3","y.4","y.5","y.6","y.7","y.8","y.9","y.10","bio18_1981_01_01_1982_01_01","bio4_1981_01_01_1982_01_01","bio7_1981_01_01_1982_01_01","duration_minutes.1","duration_minutes.2","duration_minutes.3","duration_minutes.4","duration_minutes.5","duration_minutes.6","duration_minutes.7","duration_minutes.8","duration_minutes.9","duration_minutes.10"
"213_160",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,179,234,NA,NA,NA,NA,NA,NA,NA,NA
"214_140",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,NA,NA,NA,NA,NA,NA,NA,NA,NA
"214_144",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,NA,NA,NA,NA,NA,NA,NA,NA,NA
"283_100",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,3943,757,122,40,NA,NA,NA,NA,NA,NA,NA,NA,NA
"283_149",0,0,NA,NA,NA,NA,NA,NA,NA,NA,3943,757,122,76,36,NA,NA,NA,NA,NA,NA,NA,NA
"283_152",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,3943,757,122,300,NA,NA,NA,NA,NA,NA,NA,NA,NA
"285_142",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA
"288_63",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA
"302_71",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,300,NA,NA,NA,NA,NA,NA,NA,NA,NA
"303_159",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,128,NA,NA,NA,NA,NA,NA,NA,NA,NA
"312_114",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140,200,NA,NA,NA,NA,NA,NA,NA,NA
"312_122",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,147,NA,NA,NA,NA,NA,NA,NA,NA,NA
"313_94",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,27,10,NA,NA,NA,NA,NA,NA,NA
"313_100",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,NA,NA,NA,NA,NA,NA,NA,NA,NA
"314_94",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,17,NA,NA,NA,NA,NA,NA,NA,NA
"314_97",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,53,12,23,10,4,66,108,NA,NA,NA
"315_94",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
"316_72",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130,NA,NA,NA,NA,NA,NA,NA,NA,NA
"316_73",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,125,220,10,NA,NA,NA,NA,NA,NA,NA
"316_76",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,210,NA,NA,NA,NA,NA,NA,NA,NA
